Exercise Name,Home Category,Sub Category,Exercise Type,Laterality,Primary Muscles (1.00),Secondary Muscles (0.50),Tertiary Muscles (0.25),Quaternary Muscles (0.125),Fatigue Score,Estimated Recovery Window,Progressive Overload Potential,Stability,Hypertrophy Potential,Stimulus-to-Fatigue Ratio (SFR),Stretch-Mediated Hypertrophy,Resistance Profile,Stability Requirement,Axial Loading,Skill Requirement,Recommended Rest Time,Notes,Video URL,Thumbnail
Barbell Back Squat Wide Stance,Legs,Quads,Compound,Bilateral,"Quadriceps, Adductors",Glute Max,Rectus Abdominis,,5,48-72 hours,Very High,Stable,Excellent,Good,Yes,Lengthened Bias,Free Weight,Yes,High,4-7 minutes,,,
Barbell Front Squat Wide Stance,Legs,Quads,Compound,Bilateral,"Quadriceps, Adductors",Glute Max,Rectus Abdominis,,5,48-72 hours,High,Stable,Excellent,Good,Yes,Lengthened Bias,Free Weight,Yes,High,4-7 minutes,,,
Smith Machine Good Morning,Legs,Hamstrings,Compound,Bilateral,Hamstrings,Glute Max,Spinal Erectors,,4,72-96 hours,Very High,Very Stable,Excellent,Good,No,Balanced,Machine,Yes,Moderate,4-6 minutes,,,
Hip Adduction Machine,Legs,Adductors,Isolation,Bilateral,Adductors,,,,3,36-60 hours,High,Very Stable,Excellent,Good,No,Balanced,Machine,No,Moderate,3-4 minutes,,,
Hip Abduction Machine,Legs,Glutes,Isolation,Bilateral,Abductors,Glute Max,,,3,36-60 hours,High,Very Stable,Excellent,Good,No,Balanced,Machine,No,Moderate,3-4 minutes,,,
Glute Kickback Machine,Legs,Glutes,Isolation,Bilateral,Glute Max,Hamstrings,,,3,36-60 hours,High,Very Stable,Excellent,Good,No,Balanced,Machine,No,Moderate,3-4 minutes,,,
Leg Press Calf Raise,Legs,Calves,Isolation,Bilateral,Gastrocnemius,Soleus,,,1,24-48 hours,Very High,Moderate,Excellent,Good,No,Shortened Bias,Machine,No,Low,2 minutes,,,
Barbell Front Squat,Legs,Quads,Compound,Bilateral,Quadriceps,"Glute Max, Abductors",Rectus Abdominis,,5,48-72 hours,High,Stable,High,Good,Yes,Lengthened Bias,Free Weight,Yes,High,4-7 minutes,,,
Barbell Bulgarian Split Squat,Legs,Quads,Compound,Unilateral,Quadriceps,"Glute Max, Abductors",,,5,48-72 hours,Very High,Highly Unstable,High,Average,Partial,Lengthened Bias,Free Weight,Yes,High,4-7 minutes,Stance width and depth dictate Glute vs Quad bias.,,
Barbell Squat,Legs,Quads,Compound,Bilateral,Quadriceps,"Glute Max, Abductors",,,5,48-72 hours,Very High,Moderate,High,Average,Partial,Lengthened Bias,Free Weight,Yes,High,4-7 minutes,Stance width and depth dictate Glute vs Quad bias.,,
Belt Squat,Legs,Quads,Compound,Bilateral,Quadriceps,"Glute Max, Abductors",,,5,48-72 hours,Very High,Moderate,High,Average,Partial,Lengthened Bias,Free Weight,Yes,High,4-7 minutes,Stance width and depth dictate Glute vs Quad bias.,,
Pendulum Squat,Legs,Quads,Compound,Bilateral,Quadriceps,"Glute Max, Abductors",,,5,48-72 hours,Very High,Moderate,High,Average,Partial,Lengthened Bias,Free Weight,Yes,High,4-7 minutes,Stance width and depth dictate Glute vs Quad bias.,,
Barbell Glute Bridge,Legs,Glutes,Compound,Bilateral,Glute Max,Hamstrings,Quadriceps,,3,48-72 hours,Very High,Moderate,High,Average,No,Balanced,Free Weight,No,Moderate,2-3 minutes,,,
Barbell Hip Thrusts,Legs,Glutes,Compound,Bilateral,Glute Max,Hamstrings,Quadriceps,,4,48-72 hours,Very High,Moderate,High,Average,No,Balanced,Free Weight,No,Moderate,3-4 minutes,,,
Single-Leg Dumbbell Hip Thrust,Legs,Glutes,Compound,Unilateral,Glute Max,Hamstrings,Quadriceps,,4,48-72 hours,Moderate,Moderate,High,Average,No,Balanced,Free Weight,No,Moderate,3-4 minutes,,,
Barbell Lunge,Legs,Quads,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,4,48-72 hours,High,Moderate,High,Average,No,Lengthened Bias,Free Weight,Yes,High,4-6 minutes,,,
Front Rack Barbell Lunge,Legs,Quads,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,4,48-72 hours,High,Moderate,High,Average,No,Lengthened Bias,Free Weight,Yes,High,4-6 minutes,,,
Kettlebell Swing,Legs,Glutes,Compound,Bilateral,"Glute Max, Hamstrings",Spinal Erectors,Rectus Abdominis,,3,48-72 hours,Moderate,Unstable,High,Average,No,Balanced,Free Weight,No,High,3-4 minutes,Explosive movement,,
Barbell Good Morning,Legs,Hamstrings,Compound,Bilateral,"Hamstrings, Glute Max",Spinal Erectors,Rectus Abdominis,,5,72-96 hours,Very High,Unstable,High,Average,Yes,Lengthened Bias,Free Weight,Yes,High,4-7 minutes,High axial loading,,
Sissy Squat,Legs,Quads,Isolation,Bilateral,Quadriceps,Hip Flexors:0.35,,,3,48-72 hours,Very High,Moderate,High,Average,Yes,Lengthened Bias,Free Weight,No,High,3-4 minutes,Stance width and depth dictate Glute vs Quad bias.,,
Stiff Leg Deadlift(SLDL),Legs,Hamstrings,Compound,Bilateral,Hamstrings,Glute Max,Spinal Erectors,,5,72-96 hours,Very High,Moderate,High,Average,No,Balanced,Free Weight,Yes,High,4-7 minutes,,,
Smith Machine Staggered Stance Good Morning,Legs,Hamstrings,Compound,Bilateral,"Hamstrings, Glute Max","Spinal Erectors, Rectus Abdominis",,,4,72-96 hours,High,Stable,High,Excellent,Yes,Lengthened Bias,Machine,Yes,Low,4-6 minutes,,,
Seated Calf Raise,Legs,Calves,Isolation,Bilateral,Soleus,Gastrocnemius,,,1,24-48 hours,Moderate,Stable,High,Excellent,Yes,Shortened Bias,Free Weight,No,Low,2 minutes,,,
Hack Machine One-Leg Calf Raise,Legs,Calves,Isolation,Unilateral,Gastrocnemius,Soleus,,,1,24-48 hours,Very High,Very Stable,High,Excellent,No,Balanced,Machine,No,Low,2 minutes,,,
Lever Donkey Calf Raise,Legs,Calves,Isolation,Bilateral,Gastrocnemius,Soleus,,,1,24-48 hours,High,Very Stable,High,Excellent,No,Shortened Bias,Machine,No,Low,2 minutes,,,
Reverse Lunge With Bands,Legs,Quads,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,1,24-48 hours,High,Stable,High,Good,No,Lengthened Bias,Resistance Band,No,Moderate,2-3 minutes,,,
Smith Machine Lunge,Legs,Quads,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,2,24-48 hours,High,Very Stable,High,Good,No,Lengthened Bias,Machine,No,Low,2-3 minutes,,,
Squat With Bands,Legs,Quads,Compound,Bilateral,Quadriceps,"Glute Max, Abductors",Rectus Abdominis,,1,24-48 hours,High,Stable,High,Good,No,Lengthened Bias,Resistance Band,No,Moderate,2-3 minutes,,,
Dumbbell Glute Bridge,Legs,Glutes,Compound,Bilateral,Glute Max,Hamstrings,Rectus Abdominis,,2,24-48 hours,Moderate,Stable,High,Good,No,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Dumbbell Glute Bridge With Bands,Legs,Glutes,Compound,Bilateral,Glute Max,Hamstrings,Rectus Abdominis,,2,24-48 hours,High,Stable,High,Good,No,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Cable Kickbacks,Legs,Glutes,Compound,Unilateral,Glute Max,Hamstrings,,,3,48-72 hours,Moderate,Stable,High,Good,No,Balanced,Cable,No,Moderate,2-3 minutes,,,
Lying Leg Curl,Legs,Hamstrings,Isolation,Can Be Both,Hamstrings,,,,1,24-48 hours,Moderate,Stable,High,Good,Partial,Balanced,Machine,No,Low,2-3 minutes,,,
Seated Leg Curl,Legs,Hamstrings,Isolation,Can Be Both,Hamstrings,,,,1,24-48 hours,Moderate,Stable,High,Good,Partial,Balanced,Machine,No,Low,2-3 minutes,,,
Copenhagen Adduction,Legs,Adductors,Isolation,Bilateral,Adductors,Rectus Abdominis,,,1,24-48 hours,Moderate,Moderate,High,Good,Yes,Lengthened Bias,Bodyweight,No,Moderate,2-3 minutes,,,
Single Leg Cable Adduction,Legs,Adductors,Isolation,Unilateral,Adductors,,,,1,24-48 hours,Moderate,Stable,High,Good,Yes,Balanced,Cable,No,Low,2-3 minutes,,,
Leg Extension,Legs,Quads,Isolation,Can Be Both,Quadriceps,,,,1,24-48 hours,Moderate,Moderate,High,Good,No,Balanced,Machine,No,Low,2-3 minutes,,,
Dumbbell Lunge,Legs,Quads,Compound,Unilateral,Quadriceps,"Glute Max, Abductors",,,4,48-72 hours,Moderate,Highly Unstable,High,Poor,No,Balanced,Free Weight,No,Moderate,3-4 minutes,,,
Trap Bar Deadlift,Legs,Glutes,Compound,Bilateral,Glute Max,Hamstrings,Quadriceps,,5,72-120 hours,Very High,Moderate,High,Poor,No,Balanced,Free Weight,Yes,High,4-7 minutes,,,
Sumo Deadlift,Legs,Glutes,Compound,Bilateral,"Glute Max, Hamstrings",Spinal Erectors,Upper Traps,,5,72-120 hours,Very High,Moderate,High,Poor,No,Balanced,Free Weight,Yes,High,4-7 minutes,,,
Hip Thrust With Bands,Legs,Glutes,Compound,Bilateral,Glute Max,Rectus Abdominis,,,1,24-48 hours,Moderate,Moderate,Low,Good,Partial,Shortened Bias,Resistance Band,No,Low,2-3 minutes,,,
Wall Squat,Legs,Quads,Isolation,Can Be Both,Quadriceps,Rectus Abdominis,,,1,24-48 hours,Low,Very Stable,Low,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,,,
